Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Fdate,Continent,Continent_name
Oman,21.0,57.0,5/12/20,3721,17,1250,2020-05-12,AS,Asia
Pakistan,30.3753,69.3451,5/12/20,34336,737,8812,2020-05-12,AS,Asia
Panama,8.538,-80.7821,5/12/20,8783,252,6021,2020-05-12,,North America
Papua New Guinea,-6.315,143.9555,5/12/20,8,0,8,2020-05-12,OC,Oceania
Paraguay,-23.4425,-58.4438,5/12/20,737,10,173,2020-05-12,SA,South America
Peru,-9.19,-75.0152,5/12/20,72059,2057,23324,2020-05-12,SA,South America
Philippines,13.0,122.0,5/12/20,11350,751,2106,2020-05-12,AS,Asia
Poland,51.9194,19.1451,5/12/20,16921,839,6131,2020-05-12,EU,Europe
Portugal,39.3999,-8.2245,5/12/20,27913,1163,3013,2020-05-12,EU,Europe
Qatar,25.3548,51.1839,5/12/20,25149,14,3019,2020-05-12,AS,Asia
Romania,45.9432,24.9668,5/12/20,15778,1002,7685,2020-05-12,EU,Europe
Russia,60.0,90.0,5/12/20,232243,2116,43512,2020-05-12,EU,Europe
Rwanda,-1.9403,29.8739,5/12/20,286,0,153,2020-05-12,AF,Africa
Saint Lucia,13.9094,-60.9789,5/12/20,18,0,17,2020-05-12,,North America
Saint Vincent and the Grenadines,12.9843,-61.2872,5/12/20,17,0,12,2020-05-12,,North America
San Marino,43.9424,12.4578,5/12/20,638,41,161,2020-05-12,EU,Europe
Saudi Arabia,24.0,45.0,5/12/20,42925,264,15257,2020-05-12,AS,Asia
Senegal,14.4974,-14.4524,5/12/20,1995,19,742,2020-05-12,AF,Africa
Serbia,44.0165,21.0059,5/12/20,10243,220,3600,2020-05-12,EU,Europe
Seychelles,-4.6796,55.492,5/12/20,11,0,10,2020-05-12,AF,Africa
Singapore,1.2833,103.8333,5/12/20,24671,21,3851,2020-05-12,AS,Asia
Slovakia,48.669,19.699,5/12/20,1465,27,983,2020-05-12,EU,Europe
Slovenia,46.1512,14.9955,5/12/20,1461,102,259,2020-05-12,EU,Europe
Somalia,5.1521,46.1996,5/12/20,1170,52,126,2020-05-12,AF,Africa
South Africa,-30.5595,22.9375,5/12/20,11350,206,4357,2020-05-12,AF,Africa
Spain,40.0,-4.0,5/12/20,228030,26920,138980,2020-05-12,EU,Europe
Sri Lanka,7.0,81.0,5/12/20,889,9,366,2020-05-12,AS,Asia
Sudan,12.8628,30.2176,5/12/20,1661,80,173,2020-05-12,AF,Africa
Suriname,3.9193,-56.0278,5/12/20,10,1,9,2020-05-12,SA,South America
Sweden,63.0,16.0,5/12/20,27272,3313,4971,2020-05-12,EU,Europe
Switzerland,46.8182,8.2275,5/12/20,30380,1867,26800,2020-05-12,EU,Europe
Tanzania,-6.369,34.8888,5/12/20,509,21,183,2020-05-12,AF,Africa
Thailand,15.0,101.0,5/12/20,3017,56,2798,2020-05-12,AS,Asia
Togo,8.6195,0.8248,5/12/20,199,11,92,2020-05-12,AF,Africa
Trinidad and Tobago,10.6918,-61.2225,5/12/20,116,8,107,2020-05-12,,North America
Tunisia,34.0,9.0,5/12/20,1032,45,740,2020-05-12,AF,Africa
Turkey,38.9637,35.2433,5/12/20,141475,3894,98889,2020-05-12,AS,Asia
Uganda,1.0,32.0,5/12/20,129,0,55,2020-05-12,AF,Africa
Ukraine,48.3794,31.1656,5/12/20,16023,425,3373,2020-05-12,EU,Europe
United Arab Emirates,24.0,54.0,5/12/20,19661,203,6012,2020-05-12,AS,Asia
United Kingdom,32.3078,-64.7505,5/12/20,121,8,66,2020-05-12,EU,Europe
United Kingdom,19.3133,-81.2546,5/12/20,85,1,50,2020-05-12,EU,Europe
United Kingdom,49.3723,-2.3644,5/12/20,547,42,455,2020-05-12,EU,Europe
United Kingdom,36.1408,-5.3536,5/12/20,148,0,144,2020-05-12,EU,Europe
United Kingdom,54.2361,-4.5481,5/12/20,331,23,272,2020-05-12,EU,Europe
United Kingdom,16.7425,-62.1874,5/12/20,11,1,8,2020-05-12,EU,Europe
United Kingdom,55.3781,-3.4360000000000004,5/12/20,226463,32692,0,2020-05-12,EU,Europe
Uruguay,-32.5228,-55.7658,5/12/20,717,19,532,2020-05-12,SA,South America
United States,37.0902,-95.7129,5/12/20,1369376,82356,230287,2020-05-12,,North America
Uzbekistan,41.3775,64.5853,5/12/20,2519,10,2010,2020-05-12,AS,Asia
Venezuela,6.4238,-66.5897,5/12/20,423,10,220,2020-05-12,SA,South America
Vietnam,16.0,108.0,5/12/20,288,0,252,2020-05-12,AS,Asia
Zambia,-15.4167,28.2833,5/12/20,441,7,117,2020-05-12,AF,Africa
Zimbabwe,-20.0,30.0,5/12/20,36,4,9,2020-05-12,AF,Africa
Canada,0.0,0.0,5/12/20,1,1,0,2020-05-12,,North America
Dominica,15.415,-61.371,5/12/20,16,0,15,2020-05-12,,North America
Grenada,12.1165,-61.679,5/12/20,21,0,13,2020-05-12,,North America
Mozambique,-18.665695,35.529562,5/12/20,104,0,0,2020-05-12,AF,Africa
Syria,34.802075,38.99681500000001,5/12/20,47,3,0,2020-05-12,AS,Asia
Timor-Leste,-8.874217,125.727539,5/12/20,24,0,0,2020-05-12,AS,Asia
Belize,13.1939,-59.5432,5/12/20,18,2,16,2020-05-12,,North America
Laos,19.85627,102.495496,5/12/20,19,0,13,2020-05-12,AS,Asia
Libya,26.3351,17.228331,5/12/20,64,3,28,2020-05-12,AF,Africa
Palestine,31.9522,35.2332,5/12/20,375,2,308,2020-05-12,AS,Asia
Guinea-Bissau,11.8037,-15.1804,5/12/20,820,3,26,2020-05-12,AF,Africa
Mali,17.570692,-3.996166000000001,5/12/20,730,40,398,2020-05-12,AF,Africa
Saint Kitts and Nevis,17.357822,-62.782998,5/12/20,15,0,14,2020-05-12,,North America
