Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Fdate,Continent,Continent_name_x,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_100k,Continent_code,Continent_name_y
Norway,60.472,8.4689,5/15/20,8219,232,32,2020-05-15,EU,Europe,Norway,2020-05-15,8.175,17,0.232,3,1507.957,3.136,42.795,0.5529999999999999,5421242.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,114.316,5.31,19.6,20.7,3.6,EU,Europe
Argentina,-38.4161,-63.6167,5/15/20,7479,356,2497,2020-05-15,SA,South America,Argentina,2020-05-15,7.121,255,0.353,24,157.559,5.642,7.81,0.531,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5.0,SA,South America
Malaysia,2.5,112.5,5/15/20,6855,112,5439,2020-05-15,AS,Asia,Malaysia,2020-05-15,6.819,40,0.112,1,210.68400000000003,1.236,3.46,0.031,32365998.0,96.25399999999999,29.9,6.2929999999999975,3.407,26808.164,260.942,16.74,1.0,42.4,1.9,AS,Asia
Morocco,31.7917,-7.0926,5/15/20,6652,190,3400,2020-05-15,AF,Africa,Morocco,2020-05-15,6.607,95,0.19,2,179.0,2.574,5.148,0.054000000000000006,36910558.0,80.08,29.6,6.769,4.209,7485.013000000001,419.14599999999996,7.14,0.8,47.1,1.1,AF,Africa
Algeria,28.0339,1.6596,5/15/20,6629,536,3271,2020-05-15,AF,Africa,Algeria,2020-05-15,6.442,189,0.529,7,146.906,4.31,12.064,0.16,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,278.36400000000003,6.73,0.7,30.4,1.9,AF,Africa
Bahrain,26.0275,50.55,5/15/20,6583,12,2640,2020-05-15,AS,Asia,Bahrain,2020-05-15,6.198,382,0.01,0,3642.491,224.497,5.8770000000000024,0.0,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,151.689,16.52,5.8,37.6,2.0,AS,Asia
Canada,53.9333,-116.5765,5/15/20,6515,125,0,2020-05-15,,North America,Canada,2020-05-15,73.40100000000002,1123,5.472,168,1944.8010000000002,29.755,144.984,4.4510000000000005,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,105.59899999999999,7.37,12.0,16.6,2.5,,North America
Finland,64.0,26.0,5/15/20,6228,293,5000,2020-05-15,EU,Europe,Finland,2020-05-15,6.145,91,0.287,3,1109.062,16.424,51.798,0.541,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,153.507,5.76,18.3,22.6,3.28,EU,Europe
Afghanistan,33.0,65.0,5/15/20,6053,153,745,2020-05-15,AS,Asia,Afghanistan,2020-05-15,5.339,113,0.136,6,137.149,2.903,3.4939999999999998,0.154,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,597.029,9.59,1.9,24.7,0.5,AS,Asia
Moldova,47.4116,28.3699,5/15/20,5745,202,2228,2020-05-15,EU,Europe,Moldova,2020-05-15,5.553,147,0.194,9,1376.5620000000001,36.441,48.092,2.231,4033963.0,123.655,37.6,10.864,6.955,5189.972,408.50199999999995,5.72,5.9,44.6,5.8,EU,Europe
Kazakhstan,48.0196,66.9237,5/15/20,5689,34,2707,2020-05-15,AS,Asia,Kazakhstan,2020-05-15,5.5710000000000015,0,0.032,0,296.697,0.0,1.704,0.0,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,466.792,7.11,7.0,43.1,6.7,AS,Asia
Ghana,7.9465,-1.0232,5/15/20,5638,28,1460,2020-05-15,AF,Africa,Ghana,2020-05-15,5.53,122,0.024,0,177.968,3.926,0.772,0.0,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,298.245,4.97,0.3,7.7,0.9,AF,Africa
Nigeria,9.082,8.6753,5/15/20,5450,171,1320,2020-05-15,AF,Africa,Nigeria,2020-05-15,5.162000000000001,191,0.16699999999999998,3,25.041,0.927,0.81,0.015,206139587.0,209.588,18.1,2.7510000000000003,1.4469999999999998,5338.4540000000015,181.013,2.42,0.6,10.8,0.7,AF,Africa
Oman,21.0,57.0,5/15/20,4625,20,1350,2020-05-15,AS,Asia,Oman,2020-05-15,4.341,322,0.019,2,850.073,63.055,3.721,0.392,5106622.0,14.98,30.7,2.355,1.53,37960.709,266.342,12.61,0.5,15.6,1.6,AS,Asia
