Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Fdate,Continent,Continent_name
Malaysia,2.5,112.5,1/22/20,0,0,0,2020-01-22,AS,Asia
Maldives,3.2028,73.2207,1/22/20,0,0,0,2020-01-22,AS,Asia
Malta,35.9375,14.3754,1/22/20,0,0,0,2020-01-22,EU,Europe
Mauritania,21.0079,10.9408,1/22/20,0,0,0,2020-01-22,AF,Africa
Mauritius,-20.2,57.5,1/22/20,0,0,0,2020-01-22,AF,Africa
Mexico,23.6345,-102.5528,1/22/20,0,0,0,2020-01-22,NA,North America
Moldova,47.4116,28.3699,1/22/20,0,0,0,2020-01-22,EU,Europe
Monaco,43.7333,7.4167,1/22/20,0,0,0,2020-01-22,EU,Europe
Mongolia,46.8625,103.8467,1/22/20,0,0,0,2020-01-22,AS,Asia
Montenegro,42.5,19.3,1/22/20,0,0,0,2020-01-22,EU,Europe
Morocco,31.7917,-7.0926,1/22/20,0,0,0,2020-01-22,AF,Africa
Namibia,-22.9576,18.4904,1/22/20,0,0,0,2020-01-22,AF,Africa
Nepal,28.1667,84.25,1/22/20,0,0,0,2020-01-22,AS,Asia
Netherlands,12.5186,-70.0358,1/22/20,0,0,0,2020-01-22,EU,Europe
Netherlands,12.1696,-68.99,1/22/20,0,0,0,2020-01-22,EU,Europe
Netherlands,18.0425,-63.0548,1/22/20,0,0,0,2020-01-22,EU,Europe
Netherlands,52.1326,5.2913,1/22/20,0,0,0,2020-01-22,EU,Europe
New Zealand,-40.9006,174.886,1/22/20,0,0,0,2020-01-22,OC,Oceania
Nicaragua,12.8654,-85.2072,1/22/20,0,0,0,2020-01-22,NA,North America
Niger,17.6078,8.0817,1/22/20,0,0,0,2020-01-22,AF,Africa
Nigeria,9.082,8.6753,1/22/20,0,0,0,2020-01-22,AF,Africa
North Macedonia,41.6086,21.7453,1/22/20,0,0,0,2020-01-22,EU,Europe
Norway,60.472,8.4689,1/22/20,0,0,0,2020-01-22,EU,Europe
Oman,21.0,57.0,1/22/20,0,0,0,2020-01-22,AS,Asia
Pakistan,30.3753,69.3451,1/22/20,0,0,0,2020-01-22,AS,Asia
Panama,8.538,-80.7821,1/22/20,0,0,0,2020-01-22,NA,North America
Papua New Guinea,-6.315,143.9555,1/22/20,0,0,0,2020-01-22,OC,Oceania
Paraguay,-23.4425,-58.4438,1/22/20,0,0,0,2020-01-22,SA,South America
Peru,-9.19,-75.0152,1/22/20,0,0,0,2020-01-22,SA,South America
Philippines,13.0,122.0,1/22/20,0,0,0,2020-01-22,AS,Asia
Poland,51.9194,19.1451,1/22/20,0,0,0,2020-01-22,EU,Europe
Portugal,39.3999,-8.2245,1/22/20,0,0,0,2020-01-22,EU,Europe
Qatar,25.3548,51.1839,1/22/20,0,0,0,2020-01-22,AS,Asia
Romania,45.9432,24.9668,1/22/20,0,0,0,2020-01-22,EU,Europe
Russia,60.0,90.0,1/22/20,0,0,0,2020-01-22,EU,Europe
Rwanda,-1.9403,29.8739,1/22/20,0,0,0,2020-01-22,AF,Africa
Saint Lucia,13.9094,-60.9789,1/22/20,0,0,0,2020-01-22,NA,North America
Saint Vincent and the Grenadines,12.9843,-61.2872,1/22/20,0,0,0,2020-01-22,NA,North America
San Marino,43.9424,12.4578,1/22/20,0,0,0,2020-01-22,EU,Europe
Saudi Arabia,24.0,45.0,1/22/20,0,0,0,2020-01-22,AS,Asia
Senegal,14.4974,-14.4524,1/22/20,0,0,0,2020-01-22,AF,Africa
Serbia,44.0165,21.0059,1/22/20,0,0,0,2020-01-22,EU,Europe
Seychelles,-4.6796,55.492,1/22/20,0,0,0,2020-01-22,AF,Africa
Singapore,1.2833,103.8333,1/22/20,0,0,0,2020-01-22,AS,Asia
Slovakia,48.669,19.699,1/22/20,0,0,0,2020-01-22,EU,Europe
Slovenia,46.1512,14.9955,1/22/20,0,0,0,2020-01-22,EU,Europe
Somalia,5.1521,46.1996,1/22/20,0,0,0,2020-01-22,AF,Africa
South Africa,-30.5595,22.9375,1/22/20,0,0,0,2020-01-22,AF,Africa
Spain,40.0,-4.0,1/22/20,0,0,0,2020-01-22,EU,Europe
Sri Lanka,7.0,81.0,1/22/20,0,0,0,2020-01-22,AS,Asia
Sudan,12.8628,30.2176,1/22/20,0,0,0,2020-01-22,AF,Africa
Suriname,3.9193,-56.0278,1/22/20,0,0,0,2020-01-22,SA,South America
Sweden,63.0,16.0,1/22/20,0,0,0,2020-01-22,EU,Europe
Switzerland,46.8182,8.2275,1/22/20,0,0,0,2020-01-22,EU,Europe
Tanzania,-6.369,34.8888,1/22/20,0,0,0,2020-01-22,AF,Africa
Thailand,15.0,101.0,1/22/20,2,0,0,2020-01-22,AS,Asia
Togo,8.6195,0.8248,1/22/20,0,0,0,2020-01-22,AF,Africa
Trinidad and Tobago,10.6918,-61.2225,1/22/20,0,0,0,2020-01-22,NA,North America
Tunisia,34.0,9.0,1/22/20,0,0,0,2020-01-22,AF,Africa
Turkey,38.9637,35.2433,1/22/20,0,0,0,2020-01-22,AS,Asia
Uganda,1.0,32.0,1/22/20,0,0,0,2020-01-22,AF,Africa
Ukraine,48.3794,31.1656,1/22/20,0,0,0,2020-01-22,EU,Europe
United Arab Emirates,24.0,54.0,1/22/20,0,0,0,2020-01-22,AS,Asia
United Kingdom,32.3078,-64.7505,1/22/20,0,0,0,2020-01-22,EU,Europe
United Kingdom,19.3133,-81.2546,1/22/20,0,0,0,2020-01-22,EU,Europe
United Kingdom,49.3723,-2.3644,1/22/20,0,0,0,2020-01-22,EU,Europe
United Kingdom,36.1408,-5.3536,1/22/20,0,0,0,2020-01-22,EU,Europe
United Kingdom,54.2361,-4.5481,1/22/20,0,0,0,2020-01-22,EU,Europe
United Kingdom,16.7425,-62.1874,1/22/20,0,0,0,2020-01-22,EU,Europe
